Threshold_method,score_method,Score
Li,count method,12.195121951219512
Li,area method,21.068198644769314
Li,overlap method,18.516159057617188
Minimum,count method,100.0
Minimum,area method,0.0
Minimum,overlap method,15.195083618164062
Triangle,count method,13.821138211382115
Triangle,area method,22.468224148922634
Triangle,overlap method,20.816421508789062
isodata,count method,15.447154471544716
isodata,area method,16.87899278811853
isodata,overlap method,16.408157348632812
Mean,count method,13.821138211382115
Mean,area method,21.949681337203415
Mean,overlap method,20.59326171875
Otsu,count method,15.447154471544716
Otsu,area method,16.87899278811853
Otsu,overlap method,16.408157348632812
Yen,count method,10.569105691056912
Yen,area method,17.148609922271483
Yen,overlap method,17.15087890625
